ป่านนี้ จะเป็นอย่างไร
จากมาไกล แสนนาน
คิดถึง คิดถึงบ้าน
จากมาตั้งนาน เมื่อไรจะได้กลับ
แม่จ๋า แม่รู้บ้างไหม
ว่าดวงใจ ดวงนี้เป็นห่วง
จากลูกน้อย ที่แม่ห่วงหวง
อยู่เมืองหลวง ศิวิไลซ์ ไกลบ้านเรา
คิดถึงแม่ขึ้นมา น้ำตามันก็ไหล
อยากกลับไป ซบลงที่ตรงตักแม่
ในอ้อมกอดรักจริง ที่เที่ยงแท้
ในอกแม่ สุขเกินใคร
อีกไม่นาน ลูกจะกลับไป
หอบดวงใจ เจ็บช้ำเกินทน
เก็บเรื่องราว วุ่นวายสับสน
ใจที่วกวน ของคนในเมืองกรุง
คิดถึงแม่ขึ้นมา น้ำตามันก็ไหล
อยากกลับไป ซบลงที่ตรงตักแม่
ในอ้อมกอด รักจริง ที่เที่ยงแท้
ในอกแม่ สุขเกินใคร
อีกไม่นาน ลูกจะกลับไป
หอบดวงใจ เจ็บช้ำเกินทน
เก็บเรื่องราว วุ่นวายสับสน
กับบ้างคน ที่ใจไม่แน่นอน
ลืมเรื่องบ้างคน ไปซบลงที่ตรงตักแม่
